yugi101,yum,3.4.3-168.el7.centos
yugi101,ipset,7.1-1.el7
yugi101,tar,1.26-35.el7
yugi101,MariaDB-server,10.5.12-1.el7.centos
yugi101,sed,4.2.2-7.el7
yugi101,google-cloud-sdk,354.0.0-1
yugi101,yum,3.4.3-168.el7.centos,before
yugi101,ipset,7.1-1.el7,before
yugi101,tar,1.26-35.el7,before
yugi101,MariaDB-server,10.5.12-1.el7.centos,before
yugi101,sed,4.2.2-7.el7,before
yugi101,google-cloud-sdk,354.0.0-1,before
yugi101,yum,3.4.3-168.el7.centos,after
yugi101,ipset,7.1-1.el7,after
yugi101,tar,1.26-35.el7,after
yugi101,MariaDB-server,10.5.12-1.el7.centos,after
yugi101,sed,4.2.2-7.el7,after
yugi101,google-cloud-sdk,354.0.0-1,after
